,$index_{max}$,$max$,index_{min},min,avg
0,1.0,3.887,1.0,3.887,3.887
1,1.0,3.887,2.0,1.71,2.798
2,1.0,3.887,3.0,1.701,2.433
3,1.0,3.887,3.0,1.701,2.251
4,1.0,3.887,3.0,1.701,2.143
5,1.0,3.887,6.0,1.694,2.068
6,1.0,3.887,6.0,1.694,2.016
7,1.0,3.675,1.0,3.675,3.675
8,1.0,3.675,2.0,1.623,2.649
9,1.0,3.675,3.0,1.613,2.304
10,1.0,3.675,3.0,1.613,2.136
11,1.0,3.675,5.0,1.611,2.031
12,1.0,3.675,6.0,1.605,1.96
13,1.0,3.675,6.0,1.605,1.91
14,1.0,3.718,1.0,3.718,3.718
15,1.0,3.718,2.0,1.591,2.654
16,1.0,3.718,2.0,1.591,2.3
17,1.0,3.718,4.0,1.588,2.122
18,1.0,3.718,4.0,1.588,2.02
19,1.0,3.718,4.0,1.588,1.949
20,1.0,3.718,7.0,1.587,1.898
21,1.0,3.772,1.0,3.772,3.772
22,1.0,3.772,2.0,1.638,2.705
23,1.0,3.772,2.0,1.638,2.359
24,1.0,3.772,4.0,1.616,2.173
25,1.0,3.772,4.0,1.616,2.064
26,1.0,3.772,4.0,1.616,1.991
27,1.0,3.772,4.0,1.616,1.941
28,1.0,3.728,1.0,3.728,3.728
29,1.0,3.728,2.0,1.617,2.672
30,1.0,3.728,2.0,1.617,2.323
31,1.0,3.728,4.0,1.613,2.146
32,1.0,3.728,4.0,1.613,2.042
33,1.0,3.728,4.0,1.613,1.975
34,1.0,3.728,4.0,1.613,1.923
